,input_x,input_y,output_z
193,-80,65,0.5011782737115699
194,-80,70,0.5003002416190651
195,-80,75,0.5010447207625838
196,-80,80,0.5026254988447805
197,-80,85,0.5003992971324935
198,-80,90,0.5017718944390609
199,-80,95,0.5002107571031829
200,-75,-100,0.5003092926346843
201,-75,-95,0.5010412929822637
202,-75,-90,0.5016406086081466
203,-75,-85,0.501020879072818
204,-75,-80,0.5010447207625838
205,-75,-75,0.5033319450229071
206,-75,-70,0.5022280135847192
207,-75,-65,0.5009467752181405
208,-75,-60,0.5006206933512963
209,-75,-55,0.5009175627900924
210,-75,-50,0.5025859038452734
211,-75,-45,0.5062260968923545
212,-75,-40,0.5049663908909865
213,-75,-35,0.5009230878708545
214,-75,-30,0.5088123364802278
215,-75,-25,0.5009586460863185
216,-75,-20,0.5075849860533981
217,-75,-15,0.509076833402408
218,-75,-10,0.5031502432662213
219,-75,-5,0.501028422740235
220,-75,0,0.5009227351688188
221,-75,5,0.501028422740235
222,-75,10,0.5031502432662213
223,-75,15,0.509076833402408
224,-75,20,0.5075849860533981
225,-75,25,0.5009586460863185
226,-75,30,0.5088123364802278
227,-75,35,0.5009230878708545
228,-75,40,0.5049663908909865
229,-75,45,0.5062260968923545
230,-75,50,0.5025859038452734
231,-75,55,0.5009175627900924
232,-75,60,0.5006206933512963
233,-75,65,0.5009467752181405
234,-75,70,0.5022280135847192
235,-75,75,0.5033319450229071
236,-75,80,0.5010447207625838
237,-75,85,0.501020879072818
238,-75,90,0.5016406086081466
239,-75,95,0.5010412929822637
240,-70,-100,0.5003861589405382
241,-70,-95,0.5022269523582017
242,-70,-90,0.5003799178655568
243,-70,-85,0.5027630462151104
244,-70,-80,0.5003002416190651
245,-70,-75,0.5022280135847192
246,-70,-70,0.504286694101509
247,-70,-65,0.5039968976567236
248,-70,-60,0.503725001652178
249,-70,-55,0.5047024423253778
250,-70,-50,0.5068675603628836
251,-70,-45,0.5065222077710406
252,-70,-40,0.5011520708715355
253,-70,-35,0.5062307889958699
254,-70,-30,0.5059551208726731
255,-70,-25,0.5069541183408417
256,-70,-20,0.5021488164819885
257,-70,-15,0.5120960728961801
258,-70,-10,0.5122402988799728
259,-70,-5,0.5078537894262327
260,-70,0,0.50618740674586
261,-70,5,0.5078537894262327
262,-70,10,0.5122402988799728
263,-70,15,0.5120960728961801
264,-70,20,0.5021488164819885
265,-70,25,0.5069541183408417
266,-70,30,0.5059551208726731
267,-70,35,0.5062307889958699
268,-70,40,0.5011520708715355
269,-70,45,0.5065222077710406
270,-70,50,0.5068675603628836
271,-70,55,0.5047024423253778
272,-70,60,0.503725001652178
273,-70,65,0.5039968976567236
274,-70,70,0.504286694101509
275,-70,75,0.5022280135847192
276,-70,80,0.5003002416190651
277,-70,85,0.5027630462151104
278,-70,90,0.5003799178655568
279,-70,95,0.5022269523582017
280,-65,-100,0.5011876383462449
281,-65,-95,0.5021700252862001
282,-65,-90,0.5002832450334239
283,-65,-85,0.5030713949823696
284,-65,-80,0.5011782737115699
285,-65,-75,0.5009467752181405
286,-65,-70,0.5039968976567236
287,-65,-65,0.5055989473978892
288,-65,-60,0.5062216897854518
289,-65,-55,0.5072889766565649
290,-65,-50,0.5078045096560472
291,-65,-45,0.5040925897280771
292,-65,-40,0.5012206401914928
293,-65,-35,0.5114433964486449
294,-65,-30,0.5026034268981303
295,-65,-25,0.5136124518877405
296,-65,-20,0.5014369320755275
297,-65,-15,0.5092707613551858
298,-65,-10,0.5174944535483325
299,-65,-5,0.5164719146786418
300,-65,0,0.5150127528537137
301,-65,5,0.5164719146786418
302,-65,10,0.5174944535483325
303,-65,15,0.5092707613551858
304,-65,20,0.5014369320755275
305,-65,25,0.5136124518877405
306,-65,30,0.5026034268981303
307,-65,35,0.5114433964486449
308,-65,40,0.5012206401914928
309,-65,45,0.5040925897280771
310,-65,50,0.5078045096560472
311,-65,55,0.5072889766565649
312,-65,60,0.5062216897854518
313,-65,65,0.5055989473978892
314,-65,70,0.5039968976567236
315,-65,75,0.5009467752181405
316,-65,80,0.5011782737115699
317,-65,85,0.5030713949823696
318,-65,90,0.5002832450334239
319,-65,95,0.5021700252862001
320,-60,-100,0.501667285907652
321,-60,-95,0.5020184268251215
322,-60,-90,0.5005287775198098
323,-60,-85,0.5030455075063553
324,-60,-80,0.5019413399012271
325,-60,-75,0.5006206933512963
326,-60,-70,0.503725001652178
327,-60,-65,0.5062216897854518
328,-60,-60,0.5074360499702558
329,-60,-55,0.5085326349036876
330,-60,-50,0.508127115747024
331,-60,-45,0.5032409324848854
332,-60,-40,0.5025442849712042
333,-60,-35,0.5147073846615776
334,-60,-30,0.5018771534914583
335,-60,-25,0.5181724483927476
336,-60,-20,0.5029785560659653
337,-60,-15,0.5084088295301961
338,-60,-10,0.5210819936344195
339,-60,-5,0.5229677099968665
340,-60,0,0.5220156963482135
341,-60,5,0.5229677099968665
342,-60,10,0.5210819936344195
343,-60,15,0.5084088295301961
344,-60,20,0.5029785560659653
345,-60,25,0.5181724483927476
346,-60,30,0.5018771534914583
347,-60,35,0.5147073846615776
348,-60,40,0.5025442849712042
349,-60,45,0.5032409324848854
350,-60,50,0.508127115747024
351,-60,55,0.5085326349036876
352,-60,60,0.5074360499702558
353,-60,65,0.5062216897854518
354,-60,70,0.503725001652178
355,-60,75,0.5006206933512963
356,-60,80,0.5019413399012271
357,-60,85,0.5030455075063553
